shoeId,shoeBrand,shoeCategory,shoeColour,shoeImage,shoePrice
1,Caparros,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Silver,https://i5.walmartimages.com/asr/a07174df-7c83-4d89-8016-ece1b1141407_1.3105bda08d51dd55a5773efe1d109dd2.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,79
2,Vince Camuto,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/59a1b430-299b-48ac-8246-ce69e4215892_1.4731120a7193274d8f676f986e4a2f35.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,159
3,JBU by Jambu,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/7bd8cdef-d6aa-4f3e-85f1-c75afd920dcc_1.2c85dbf079d5e5076b864e34411bd79c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,69
4,Style & Co.,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Beige,https://i5.walmartimages.com/asr/aaf29b0f-1084-4aeb-bd5f-fbf8caa23b3e_1.b573530ea8981ab49801d55adcb9075e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,19.99
5,Ellen Tracy,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Beige,https://i5.walmartimages.com/asr/3dc9c088-f9f0-431c-8ad3-6dfdb8bf72d7_1.da7461dbb8fcb9b1271f71671dd393e3.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,21.99
6,Mia Girl,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Beige,https://i5.walmartimages.com/asr/f3e9ebfe-b7b0-4e9e-a2b6-f25c4ef846b2_1.79be30a7525e27abec2b7997b2e21635.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,59
7,Born,"Women's Casual Shoes,Shoes,Clothing,Women's Shoes","Red,Tan,Gold","https://i5.walmartimages.com/asr/4eca9ed8-19b6-4cb1-9d6f-4120db6ee222_1.f9edc4e6dfd767f3f72521c7a7edd899.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/4eca9ed8-19b6-4cb1-9d6f-4120db6ee222_1.909d5c5dc9cb35c6327b3131944547a8.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/4eca9ed8-19b6-4cb1-9d6f-4120db6ee222_1.6aa2284c014d8bae8841714b2e1d2689.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",71.76
8,r.b.l.s.,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/454207c2-4567-41d3-b50b-821274830ebd_1.4d569429af43c5057bb2664b2d8fd655.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,30
9,Giani Bernini,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/c21ae913-7d44-4e4e-8358-4a8723a3c3e2_1.c3e1c5445ab5279a384c9a4724d19f69.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,89
10,Lillian Rose,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Clear,https://i5.walmartimages.com/asr/cbcd0a07-71c8-4587-9407-adc4a69bd5df_1.2cfc8437a567fe37894b8dd8dd2d30fe.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,14
11,Dyeables,"Heels,Shoes,Women's Shoes,Dyeables",White,http://ak1.ostkcdn.com/images/products/84/878/P16422791.jpg,64.95
12,Alfani,"Clothing,Shoes,Women's Shoes,Women's Sandals",Ink,https://i5.walmartimages.com/asr/3cac504a-3a62-41b2-ac22-a8b74045d6bb_1.210f1702449c5278617a431ed457a5e1.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,24.93
13,BareTraps,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/55fc9ec2-7cba-48fa-b8c1-d9e1ebac6c5c_1.f16acaf43b95380059d953e261c534c0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
14,Dr. Weil,"Clothing,Shoes,Women's Shoes,All Women's Shoes",WhiteBlue,https://i5.walmartimages.com/asr/5dba9552-2391-40f3-a679-7778898ebc34_1.b19124771c3db81acf6c0d5fc0518956.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,109.99
15,Easy Spirit,"Women's Casual Shoes,Shoes,Women's Shoes,Clothing,All Women's Shoes",BlackBlack Suede,https://i5.walmartimages.com/asr/e90e7737-0170-4a7b-abf9-d2bcc7a6791a_1.205c0006cbf190d494652e2796cc5081.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,89
16,kate spade,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Multicolor,https://i5.walmartimages.com/asr/25c3be06-f219-4951-b867-2d3e78dbee6e_1.5be3f3976e03f9ae571b524622c85863.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,328
17,Giro,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/fc3df7da-0540-48ff-bd0c-686944a5034c_1.55741983024067947d8282e7678ce76b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
18,G BY GUESS,"Women's Sandals,Shoes,Women's Shoes,Clothing",Light Natural,https://i5.walmartimages.com/asr/6cee9288-80a4-4f4e-9d4e-cec1c34e9e1b_1.22e82224f90e0dca1af338cf04d7aed3.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,33.54
19,Indigo Rd.,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,"https://i5.walmartimages.com/asr/4046f170-ba90-4872-8ccb-e32aa39a74c9_1.639050466b86bd7b07812d3da53c2958.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/6cc2fa5e-89c5-412c-af48-0c38805596d3_1.a0ff75b349294288df70559f30928a01.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",99
20,ELLIE SHOES,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Clear,https://i5.walmartimages.com/asr/8f54b245-1760-443a-be88-0780279057f2_1.270ef82811d2fb0e8af39a47a333d883.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,62.96
21,Ellie,"Heels,Shoes,Women's Shoes,Ellie","Black,White,Black White",http://ak1.ostkcdn.com/images/products/8546462/Ellie-Womens-Leelo-527-Dual-Platform-Stiletto-Heels-8e9169f7-4f33-47ac-b7d4-9ec84a90347b_80.jpg,116.99
22,Touch Ups,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Gold,https://i5.walmartimages.com/asr/746ea86a-c104-478a-a284-1cf13bebcdbb_1.4c8334d5ec6b672b88283f75db46394b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,38.14
